Id,Label,timeset,d1,d0,clustering,triangles,Weighted Degree,,,,,,Row Labels,Average of Weighted Degree
pardonmyenglish.com,pardonmyenglish.com,,eTalkingHead,1,0.333333,5,6,,,,,,0,9.5
commonsenserunswild.typepad.com,commonsenserunswild.typepad.com,,Blogarama,1,0.257353,35,17,,,,,,1,7.490196078
politicalwire.com,politicalwire.com,,BlogPulse,0,0.20915,32,18,,,,,,(blank),
democrats.org/blog,democrats.org/blog,,LabeledManually,0,0.512821,40,13,,,,,,Grand Total,8.464646465
patriotism101.blogspot.com,patriotism101.blogspot.com,,BlogCatalog,1,0,0,3,,,,,,,
thomasgalvin.blogspot.com,thomasgalvin.blogspot.com,,"BlogPulse,eTalkingHead",1,0.241667,29,16,,,,,,,
everythingiknowiswrong.com,everythingiknowiswrong.com,,eTalkingHead,1,0.333333,7,7,,,,,,,
mdcbowen.org/cobb,mdcbowen.org/cobb,,eTalkingHead,1,0.333333,2,4,,,,,,,
gmscorner.blogspot.com,gmscorner.blogspot.com,,Blogarama,1,0.3,3,5,,,,,,,
higherpieproductions.com,higherpieproductions.com,,"Blogarama,LeftyDirectory,BlogCatalog,LabeledManually",0,0.380952,8,7,,,,,,,
alamonation.blogspot.com,alamonation.blogspot.com,,Blogarama,1,0.2,2,5,,,,,,,
bushmisunderestimated.blogspot.com,bushmisunderestimated.blogspot.com,,CampaignLine,0,1,3,3,,,,,,,
txfx.net,txfx.net,,BlogCatalog,1,0.428571,9,7,,,,,,,
fairshot.org,fairshot.org,,Blogarama,0,0.464286,13,8,,,,,,,
scrutinyhooligans.blogspot.com,scrutinyhooligans.blogspot.com,,"Blogarama,LeftyDirectory",0,0.466667,7,6,,,,,,,
alvintostig.typepad.com,alvintostig.typepad.com,,eTalkingHead,0,0.7,7,5,,,,,,,
msnbc.msn.com/id/3449870,msnbc.msn.com/id/3449870,,LabeledManually,0,0.242647,33,17,,,,,,,
victorhanson.com,victorhanson.com,,LabeledManually,1,0.666667,2,3,,,,,,,
jeffblanco.blogdrive.com,jeffblanco.blogdrive.com,,"Blogarama,BlogCatalog,eTalkingHead",1,0,0,1,,,,,,,
americanfuture.typepad.com,americanfuture.typepad.com,,Blogarama,1,0.333333,2,4,,,,,,,
theagitator.blogspot.com,theagitator.blogspot.com,,Blogarama,0,0.666667,2,3,,,,,,,
thedonovan.com,thedonovan.com,,"Blogarama,eTalkingHead",1,0.333333,7,7,,,,,,,
littlegreenfootballs.com/weblog,littlegreenfootballs.com/weblog,,LabeledManually,1,0.14245,50,27,,,,,,,
poweragerambleson.blogspot.com,poweragerambleson.blogspot.com,,Blogarama,1,1,1,2,,,,,,,
hiddennook.blogspot.com,hiddennook.blogspot.com,,Blogarama,1,0.333333,1,3,,,,,,,
prestoncaldwellblog.blogspot.com,prestoncaldwellblog.blogspot.com,,"LeftyDirectory,eTalkingHead",0,0.666667,2,3,,,,,,,
nykola.com,nykola.com,,eTalkingHead,1,0,0,3,,,,,,,
bensworld.patriotforum.org,bensworld.patriotforum.org,,Blogarama,1,0,0,3,,,,,,,
takebackthemedia.com,takebackthemedia.com,,LabeledManually,0,0.4,4,5,,,,,,,
electionprojection.com,electionprojection.com,,eTalkingHead,1,0.309091,17,11,,,,,,,
robschumacher.blogspot.com,robschumacher.blogspot.com,,Blogarama,0,0.24359,19,13,,,,,,,
dailywarnews.blogspot.com,dailywarnews.blogspot.com,,LabeledManually,0,0.357143,10,8,,,,,,,
martinipundit.com,martinipundit.com,,Blogarama,1,0.275,33,16,,,,,,,
ndnblog.org,ndnblog.org,,LabeledManually,0,0.666667,2,3,,,,,,,
atrios.blogspot.com,atrios.blogspot.com,,"BlogPulse,LeftyDirectory,CampaignLine",0,0.147992,140,44,,,,,,,
elemming2.blogspot.com,elemming2.blogspot.com,,"Blogarama,LeftyDirectory",0,0.2,2,5,,,,,,,
scoobiedavis.blogspot.com,scoobiedavis.blogspot.com,,LeftyDirectory,0,0.555556,25,10,,,,,,,
c-pol.blogspot.com,c-pol.blogspot.com,,"Blogarama,CampaignLine",1,0.666667,2,3,,,,,,,
streetlog.typepad.com,streetlog.typepad.com,,Blogarama,1,0.333333,1,3,,,,,,,
professorbainbridge.com,professorbainbridge.com,,"BlogPulse,eTalkingHead",1,0.333333,12,9,,,,,,,
blog01.kintera.com/dnccblog,blog01.kintera.com/dnccblog,,CampaignLine,0,0.619048,13,7,,,,,,,
scrappleface.com,scrappleface.com,,LabeledManually,1,0.151515,10,12,,,,,,,
jadedreality.blogspot.com,jadedreality.blogspot.com,,"Blogarama,BlogCatalog",0,0,0,4,,,,,,,
needlenose.com,needlenose.com,,"Blogarama,LeftyDirectory,BlogCatalog",0,0.6,6,5,,,,,,,
bernardmoon.blogspot.com,bernardmoon.blogspot.com,,eTalkingHead,1,0.5,3,4,,,,,,,
ospolitics.org,ospolitics.org,,LabeledManually,0,0.533333,24,10,,,,,,,
thomasblog.typepad.com/bloggg,thomasblog.typepad.com/bloggg,,eTalkingHead,0,1,3,3,,,,,,,
headland.blogspot.com,headland.blogspot.com,,Blogarama,1,0.5,3,4,,,,,,,
twentyfirstcenturyrepublican.blogspot.com,twentyfirstcenturyrepublican.blogspot.com,,BlogCatalog,1,0,0,4,,,,,,,
nomayo.mu.nu,nomayo.mu.nu,,LabeledManually,1,1,3,3,,,,,,,
alphapatriot.com,alphapatriot.com,,Blogarama,1,0.210526,40,20,,,,,,,
unfetteredmusings.blogspot.com,unfetteredmusings.blogspot.com,,Blogarama,1,0.333333,1,3,,,,,,,
fromtheroots.org,fromtheroots.org,,CampaignLine,0,0.694444,25,9,,,,,,,
wholewheatblogger.com,wholewheatblogger.com,,BlogCatalog,1,0.333333,1,3,,,,,,,
wizbangblog.com,wizbangblog.com,,BlogPulse,1,0.219048,46,21,,,,,,,
zebrax.blogs.com,zebrax.blogs.com,,BlogCatalog,1,0,0,3,,,,,,,
allspinzone.blogspot.com,allspinzone.blogspot.com,,Blogarama,0,0.666667,4,4,,,,,,,
rightrainbow.com,rightrainbow.com,,Blogarama,1,0,0,3,,,,,,,
thepoorman.net,thepoorman.net,,LeftyDirectory,0,0.266667,32,16,,,,,,,
sgtstryker.com,sgtstryker.com,,LabeledManually,1,0.6,6,5,,,,,,,
nomoremister.blogspot.com,nomoremister.blogspot.com,,LabeledManually,0,0.424242,28,12,,,,,,,
stcfoundation.blogspot.com,stcfoundation.blogspot.com,,Blogarama,0,0.9,9,5,,,,,,,
crankybastard.blogspot.com,crankybastard.blogspot.com,,"Blogarama,eTalkingHead",1,0.5,3,4,,,,,,,
elayneriggs.blogspot.com,elayneriggs.blogspot.com,,LeftyDirectory,0,0.32381,34,15,,,,,,,
quante.blogspot.com,quante.blogspot.com,,Blogarama,1,0.833333,5,4,,,,,,,
evangelicaloutpost.com,evangelicaloutpost.com,,eTalkingHead,1,0.140351,24,19,,,,,,,
lt-smash.us,lt-smash.us,,LabeledManually,1,0.307692,24,13,,,,,,,
prolifeblogs.com,prolifeblogs.com,,LabeledManually,1,0.3,3,5,,,,,,,
bartcop.com,bartcop.com,,CampaignLine,0,0.238095,5,7,,,,,,,
politicalmusings.net,politicalmusings.net,,BlogPulse,1,0.25,7,8,,,,,,,
oliverwillis.com,oliverwillis.com,,"LeftyDirectory,eTalkingHead,CampaignLine",0,0.289855,80,24,,,,,,,
mydd.com,mydd.com,,"LeftyDirectory,LabeledManually,eTalkingHead",0,0.231579,44,20,,,,,,,
marcbrazeau.blogspot.com,marcbrazeau.blogspot.com,,Blogarama,0,0.1,1,5,,,,,,,
demagogue.blogspot.com,demagogue.blogspot.com,,"LeftyDirectory,eTalkingHead",0,0.5,5,5,,,,,,,
rogerlsimon.com,rogerlsimon.com,,"BlogPulse,LeftyDirectory",1,0.418182,23,11,,,,,,,
livejournal.com/users/jmhm,livejournal.com/users/jmhm,,LeftyDirectory,0,0.666667,4,4,,,,,,,
therightcoast.blogspot.com,therightcoast.blogspot.com,,Blogarama,1,0.2,2,5,,,,,,,
rightword.blogspot.com,rightword.blogspot.com,,"Blogarama,BlogCatalog,eTalkingHead",1,0.2,3,6,,,,,,,
whyareweback.blogspot.com,whyareweback.blogspot.com,,"Blogarama,BlogCatalog",0,0.333333,7,7,,,,,,,
mathewgross.com/blog,mathewgross.com/blog,,CampaignLine,0,0.571429,12,7,,,,,,,
mahablog.com,mahablog.com,,LabeledManually,0,0.395604,36,14,,,,,,,
dir.salon.com/topics/joe_conason/index.html,dir.salon.com/topics/joe_conason/index.html,,LabeledManually,0,0.166667,1,4,,,,,,,
pudentilla.blogspot.com,pudentilla.blogspot.com,,Blogarama,0,0.619048,13,7,,,,,,,
blogsofwar.com,blogsofwar.com,,"BlogPulse,eTalkingHead",1,0.239766,41,19,,,,,,,
lefterer.com,lefterer.com,,"Blogarama,LeftyDirectory",0,0.466667,7,6,,,,,,,
dneiwert.blogspot.com,dneiwert.blogspot.com,,"LeftyDirectory,eTalkingHead",0,0.314286,66,21,,,,,,,
thecore4.com,thecore4.com,,BlogCatalog,0,0.5,3,4,,,,,,,
shakespearessister.blogspot.com,shakespearessister.blogspot.com,,"Blogarama,BlogCatalog",0,0.7,7,5,,,,,,,
diplomadic.blogspot.com,diplomadic.blogspot.com,,Blogarama,1,0.222222,8,9,,,,,,,
donaldsensing.com,donaldsensing.com,,LabeledManually,1,0.5,14,8,,,,,,,
buzzmachine.com,buzzmachine.com,,"BlogPulse,LeftyDirectory",0,0.269006,46,19,,,,,,,
freedomofthought.com,freedomofthought.com,,eTalkingHead,1,0,0,3,,,,,,,
theleftcoaster.com,theleftcoaster.com,,"LeftyDirectory,LabeledManually",0,0.408333,49,16,,,,,,,
etherealgirl.blogspot.com,etherealgirl.blogspot.com,,Blogarama,0,0,0,2,,,,,,,
redstatealliance.blogspot.com,redstatealliance.blogspot.com,,Blogarama,1,1,3,3,,,,,,,
anncoulter.org,anncoulter.org,,LabeledManually,1,0.166667,6,9,,,,,,,
markarkleiman.com,markarkleiman.com,,eTalkingHead,0,0.424242,28,12,,,,,,,
thecarpetbaggerreport.com,thecarpetbaggerreport.com,,BlogPulse,0,0.4,6,6,,,,,,,
patriotsforbush.com,patriotsforbush.com,,"Blogarama,eTalkingHead",1,0.4,6,6,,,,,,,